dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST
33,0.2740571312776832,Lactobacillus_iners_5,18,4,17
7,0.6937091744137587,Lactobacillus_iners_6,18,4,18
37,0.7592623851065965,Lactobacillus_iners_7,18,4,19
1,0.3834599655729295,UBA629_sp005465875_1,18,4,20
35,0.35553744845093355,UBA629_sp005465875_3,18,4,21
26,0.3796407402391252,UBA629_sp005465875_4,18,4,22
25,0.3457997240332236,Gardnerella_vaginalis_1,18,4,23
20,0.4658780758653562,Gardnerella_vaginalis_2,18,4,24
31,0.2637154659820307,Gardnerella_vaginalis_C_1,18,4,25
38,0.2399555720918428,Gardnerella_vaginalis_C_3,18,4,26
32,0.1968216844516225,Gardnerella_vaginalis_H_1,18,4,27
13,0.2719429812326088,Gardnerella_swidsinkii_1,18,4,28
18,0.26427529721869136,Gardnerella_swidsinkii_2,18,4,29
14,0.24685586936973547,Gardnerella_swidsinkii_7,18,4,30
40,0.5773695750892771,Gardnerella_piotii_1,18,4,31
36,0.42457641331631196,Lactobacillus_paragasseri,18,4,32
34,0.6019763682837466,Bifidobacterium_breve_2,18,4,33
10,0.4757902369790312,Bifidobacterium_dentium,18,4,34
2,0.20898779101009024,MultiGenera,18,4,35
4,0.18625867858632952,MultiGenera,18,4,36
17,0.21066177664042382,MultiGenera,18,4,37
23,0.20253023835815648,MultiGenera,18,4,38
28,0.2542966750751027,MultiGenera,18,4,39
21,0.26095655833295267,Trichomonas_vaginalis,18,4,40
10,0.8405851111556855,Lactobacillus_crispatus_1,19,0,1
11,0.8117584386405232,Lactobacillus_crispatus_2,19,0,2
7,0.8643502635506987,Lactobacillus_crispatus_3,19,0,3
15,0.832163497025845,Lactobacillus_crispatus_4,19,0,4
2,0.5543876219627708,Lactobacillus_crispatus_5,19,0,5
13,0.8724524352608115,Lactobacillus_crispatus_6,19,0,6
14,0.8615226336749823,Lactobacillus_crispatus_8,19,0,7
8,0.5393181463996819,Lactobacillus_iners_1,19,0,8
4,0.6423276083559297,Lactobacillus_iners_2,19,0,9
6,0.6437070109366928,Lactobacillus_iners_4,19,0,10
12,0.732481416653051,Lactobacillus_iners_5,19,0,11
9,0.6937091744137587,Lactobacillus_iners_6,19,0,12
5,0.3834599655729295,UBA629_sp005465875_1,19,0,13
3,0.2995183160310313,Gardnerella_vaginalis_2,19,0,14
1,0.2454554787606375,MultiGenera,19,0,15
10,0.8405851111556855,Lactobacillus_crispatus_1,19,1,1
11,0.8117584386405232,Lactobacillus_crispatus_2,19,1,2
7,0.8643502635506987,Lactobacillus_crispatus_3,19,1,3
15,0.832163497025845,Lactobacillus_crispatus_4,19,1,4
17,0.8019165833754756,Lactobacillus_crispatus_5,19,1,5
13,0.8724524352608115,Lactobacillus_crispatus_6,19,1,6
16,0.7851632977693439,Lactobacillus_crispatus_7,19,1,7
14,0.8615226336749823,Lactobacillus_crispatus_8,19,1,8
8,0.5393181463996819,Lactobacillus_iners_1,19,1,9
4,0.6423276083559297,Lactobacillus_iners_2,19,1,10
6,0.6437070109366928,Lactobacillus_iners_4,19,1,11
12,0.732481416653051,Lactobacillus_iners_5,19,1,12
9,0.6937091744137587,Lactobacillus_iners_6,19,1,13
2,0.5072308267439688,Lactobacillus_iners_7,19,1,14
5,0.3834599655729295,UBA629_sp005465875_1,19,1,15
3,0.2995183160310313,Gardnerella_vaginalis_2,19,1,16
1,0.2454554787606375,MultiGenera,19,1,17
10,0.8405851111556855,Lactobacillus_crispatus_1,19,2,1
11,0.8117584386405232,Lactobacillus_crispatus_2,19,2,2
7,0.8643502635506987,Lactobacillus_crispatus_3,19,2,3
17,0.832163497025845,Lactobacillus_crispatus_4,19,2,4
19,0.8019165833754756,Lactobacillus_crispatus_5,19,2,5
14,0.8724524352608115,Lactobacillus_crispatus_6,19,2,6
18,0.7851632977693439,Lactobacillus_crispatus_7,19,2,7
16,0.8615226336749823,Lactobacillus_crispatus_8,19,2,8
8,0.5393181463996819,Lactobacillus_iners_1,19,2,9
4,0.6423276083559297,Lactobacillus_iners_2,19,2,10
6,0.6437070109366928,Lactobacillus_iners_4,19,2,11
12,0.732481416653051,Lactobacillus_iners_5,19,2,12
9,0.6937091744137587,Lactobacillus_iners_6,19,2,13
20,0.7592623851065965,Lactobacillus_iners_7,19,2,14
5,0.3834599655729295,UBA629_sp005465875_1,19,2,15
15,0.4658780758653562,Gardnerella_vaginalis_2,19,2,16
13,0.2719429812326088,Gardnerella_swidsinkii_1,19,2,17
3,0.26770508568279994,Gardnerella_swidsinkii_2,19,2,18
2,0.48895663520105925,Lactobacillus_paragasseri,19,2,19
1,0.2454554787606375,MultiGenera,19,2,20
11,0.8405851111556855,Lactobacillus_crispatus_1,19,3,1
13,0.8117584386405232,Lactobacillus_crispatus_2,19,3,2
8,0.8643502635506987,Lactobacillus_crispatus_3,19,3,3
20,0.832163497025845,Lactobacillus_crispatus_4,19,3,4
23,0.8019165833754756,Lactobacillus_crispatus_5,19,3,5
17,0.8724524352608115,Lactobacillus_crispatus_6,19,3,6
22,0.7851632977693439,Lactobacillus_crispatus_7,19,3,7
19,0.8615226336749823,Lactobacillus_crispatus_8,19,3,8
12,0.5544683302934788,Lactobacillus_gasseri_1,19,3,9
27,0.6550759289434165,Lactobacillus_gasseri_2,19,3,10
9,0.5393181463996819,Lactobacillus_iners_1,19,3,11
3,0.6423276083559297,Lactobacillus_iners_2,19,3,12
7,0.6437070109366928,Lactobacillus_iners_4,19,3,13
14,0.732481416653051,Lactobacillus_iners_5,19,3,14
10,0.6937091744137587,Lactobacillus_iners_6,19,3,15
26,0.7592623851065965,Lactobacillus_iners_7,19,3,16
6,0.3834599655729295,UBA629_sp005465875_1,19,3,17
24,0.35553744845093355,UBA629_sp005465875_3,19,3,18
21,0.3796407402391252,UBA629_sp005465875_4,19,3,19
18,0.4658780758653562,Gardnerella_vaginalis_2,19,3,20
15,0.2719429812326088,Gardnerella_swidsinkii_1,19,3,21
16,0.26427529721869136,Gardnerella_swidsinkii_2,19,3,22
4,0.26902091647720633,Gardnerella_piotii_1,19,3,23
25,0.42457641331631196,Lactobacillus_paragasseri,19,3,24
2,0.44419793374884337,Bifidobacterium_breve_2,19,3,25
1,0.20486345389216482,MultiGenera,19,3,26
5,0.28595346517391507,MultiGenera,19,3,27
